schema_version,capture_timestamp,spot,india_vix,nifty_index_last,index_day_high,index_day_low
2.1.0,2026-08-28T13:15:20+05:30,24102.15,10.76,24102.15,24188.3,24076.85
2.1.0,2026-08-28T13:15:40+05:30,24102.4,10.77,24102.4,24188.3,24076.85
2.1.0,2026-08-28T13:16:20+05:30,24105.0,10.78,24105.0,24188.3,24076.85
2.1.0,2026-08-28T13:16:40+05:30,24101.45,10.8,24101.45,24188.3,24076.85
2.1.0,2026-08-28T13:17:19+05:30,24101.55,10.8,24101.55,24188.3,24076.85
2.1.0,2026-08-28T13:17:40+05:30,24102.0,10.81,24102.0,24188.3,24076.85
2.1.0,2026-08-28T13:18:19+05:30,24104.85,10.81,24104.85,24188.3,24076.85
2.1.0,2026-08-28T13:18:40+05:30,24107.1,10.81,24107.1,24188.3,24076.85
2.1.0,2026-08-28T13:19:20+05:30,24109.45,10.8,24109.45,24188.3,24076.85
2.1.0,2026-08-28T13:19:40+05:30,24109.1,10.81,24109.1,24188.3,24076.85
2.1.0,2026-08-28T13:20:19+05:30,24106.0,10.77,24106.0,24188.3,24076.85
2.1.0,2026-08-28T13:20:40+05:30,24108.15,10.8,24108.15,24188.3,24076.85
2.1.0,2026-08-28T13:21:20+05:30,24108.15,10.8,24108.15,24188.3,24076.85
2.1.0,2026-08-28T13:21:40+05:30,24107.8,10.8,24107.8,24188.3,24076.85
2.1.0,2026-08-28T13:22:20+05:30,24109.55,10.8,24109.55,24188.3,24076.85
2.1.0,2026-08-28T13:22:40+05:30,24111.55,10.77,24111.55,24188.3,24076.85
2.1.0,2026-08-28T13:23:20+05:30,24109.3,10.78,24109.3,24188.3,24076.85
2.1.0,2026-08-28T13:23:40+05:30,24107.7,10.78,24107.7,24188.3,24076.85
2.1.0,2026-08-28T13:24:20+05:30,24109.65,10.77,24109.65,24188.3,24076.85
2.1.0,2026-08-28T13:24:40+05:30,24108.6,10.77,24108.6,24188.3,24076.85
2.1.0,2026-08-28T13:25:20+05:30,24110.1,10.78,24110.1,24188.3,24076.85
2.1.0,2026-08-28T13:25:40+05:30,24108.2,10.75,24108.2,24188.3,24076.85
2.1.0,2026-08-28T13:26:20+05:30,24110.55,10.78,24110.55,24188.3,24076.85
2.1.0,2026-08-28T13:26:40+05:30,24112.35,10.76,24112.35,24188.3,24076.85
2.1.0,2026-08-28T13:27:19+05:30,24114.45,10.84,24114.45,24188.3,24076.85
2.1.0,2026-08-28T13:27:40+05:30,24105.2,10.81,24105.2,24188.3,24076.85
2.1.0,2026-08-28T13:28:20+05:30,24103.35,10.83,24103.35,24188.3,24076.85
2.1.0,2026-08-28T13:28:40+05:30,24100.75,10.84,24100.75,24188.3,24076.85
2.1.0,2026-08-28T13:29:19+05:30,24098.55,10.83,24098.55,24188.3,24076.85
2.1.0,2026-08-28T13:29:40+05:30,24096.7,10.83,24096.7,24188.3,24076.85
2.1.0,2026-08-28T13:30:20+05:30,24096.05,10.8,24096.05,24188.3,24076.85
2.1.0,2026-08-28T13:30:40+05:30,24098.6,10.74,24098.6,24188.3,24076.85
2.1.0,2026-08-28T13:31:20+05:30,24099.1,10.75,24099.1,24188.3,24076.85
2.1.0,2026-08-28T13:31:40+05:30,24099.45,10.75,24099.45,24188.3,24076.85
2.1.0,2026-08-28T13:32:20+05:30,24101.1,10.79,24101.1,24188.3,24076.85
2.1.0,2026-08-28T13:32:39+05:30,24100.9,10.78,24100.9,24188.3,24076.85
2.1.0,2026-08-28T13:33:20+05:30,24106.6,10.76,24106.6,24188.3,24076.85
2.1.0,2026-08-28T13:33:40+05:30,24106.5,10.74,24106.5,24188.3,24076.85
2.1.0,2026-08-28T13:34:20+05:30,24111.9,10.74,24111.9,24188.3,24076.85
2.1.0,2026-08-28T13:34:40+05:30,24109.95,10.73,24109.95,24188.3,24076.85
2.1.0,2026-08-28T13:35:20+05:30,24109.85,10.75,24109.85,24188.3,24076.85
2.1.0,2026-08-28T13:35:40+05:30,24110.1,10.75,24110.1,24188.3,24076.85
2.1.0,2026-08-28T13:36:20+05:30,24106.3,10.74,24106.3,24188.3,24076.85
2.1.0,2026-08-28T13:36:40+05:30,24106.95,10.75,24106.95,24188.3,24076.85
2.1.0,2026-08-28T13:37:20+05:30,24111.65,10.76,24111.65,24188.3,24076.85
2.1.0,2026-08-28T13:37:40+05:30,24113.05,10.75,24113.05,24188.3,24076.85
2.1.0,2026-08-28T13:38:20+05:30,24111.5,10.72,24111.5,24188.3,24076.85
2.1.0,2026-08-28T13:38:40+05:30,24112.7,10.73,24112.7,24188.3,24076.85
2.1.0,2026-08-28T13:39:20+05:30,24112.45,10.74,24112.45,24188.3,24076.85
2.1.0,2026-08-28T13:39:40+05:30,24112.4,10.73,24112.4,24188.3,24076.85
