schema_version,snapshot_id,capture_timestamp,source_timestamp,timezone,source,expiry,chain_hash,source_age_seconds,source_is_stale,spot_chain,chain_data_age_seconds,chain_frozen,minutes_to_close,spot_high_1m,spot_low_1m,spot_samples_1m,nifty_index_last,nifty_day_open,nifty_day_high,nifty_day_low,nifty_previous_close,nifty_year_high,nifty_year_low,india_vix,vix_day_open,vix_day_high,vix_day_low,vix_previous_close,current_atm,session_anchor_atm,scheduled_event_note,external_source,external_source_timestamp,external_age_seconds,external_is_stale,nifty_futures,futures_open_1m,futures_high_1m,futures_low_1m,futures_close_1m,futures_volume_1m,futures_vwap,true_futures_context_available
2.1.0,20260828_132103_000,2026-08-28T13:21:03+05:30,2026-08-28T13:21:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,e91012aeda79addd,0.0,False,24108.45,0.0,False,128.9,24108.45,24106.0,3,24108.25,24122.6,24188.3,24076.85,24090.85,,,10.8,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_132203_000,2026-08-28T13:22:03+05:30,2026-08-28T13:22:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,88d7504c78464f3a,0.0,False,24108.55,0.0,False,127.9,24108.55,24107.8,3,24108.9,24122.6,24188.3,24076.85,24090.85,,,10.8,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_132303_000,2026-08-28T13:23:03+05:30,2026-08-28T13:23:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,7afd2b716f9e45d4,0.0,False,24111.35,0.0,False,126.9,24111.55,24109.55,3,24111.55,24122.6,24188.3,24076.85,24090.85,,,10.77,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_132403_000,2026-08-28T13:24:03+05:30,2026-08-28T13:24:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,4769791863bac826,0.0,False,24109.35,0.0,False,125.9,24109.35,24107.7,3,24109.45,24122.6,24188.3,24076.85,24090.85,,,10.76,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_132503_000,2026-08-28T13:25:03+05:30,2026-08-28T13:25:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,d038b058c418acf1,0.0,False,24110.15,0.0,False,124.9,24110.15,24108.6,3,24110.45,24122.6,24188.3,24076.85,24090.85,,,10.77,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_132603_000,2026-08-28T13:26:03+05:30,2026-08-28T13:26:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,4f05ccb4738431ec,0.0,False,24109.6,0.0,False,123.9,24110.1,24108.2,3,24109.6,24122.6,24188.3,24076.85,24090.85,,,10.77,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_132702_999,2026-08-28T13:27:02+05:30,2026-08-28T13:27:02+05:30,Asia/Kolkata,UPSTOX,2026-09-01,0324151e3d1b9b59,0.0,False,24113.4,0.0,False,123.0,24113.4,24109.6,4,24113.25,24122.6,24188.3,24076.85,24090.85,,,10.76,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_132803_000,2026-08-28T13:28:03+05:30,2026-08-28T13:28:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,e1b4e4aae1fbd136,0.0,False,24101.9,0.0,False,121.9,24114.45,24101.9,3,24101.9,24122.6,24188.3,24076.85,24090.85,,,10.81,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_132903_000,2026-08-28T13:29:03+05:30,2026-08-28T13:29:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,7fd8f65176bcf6d2,0.0,False,24099.95,0.0,False,120.9,24103.35,24099.95,3,24099.6,24122.6,24188.3,24076.85,24090.85,,,10.84,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_133003_000,2026-08-28T13:30:03+05:30,2026-08-28T13:30:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,7d621d17ed2e5195,0.0,False,24096.6,0.0,False,119.9,24098.55,24096.6,3,24096.9,24122.6,24188.3,24076.85,24090.85,,,10.83,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_133102_999,2026-08-28T13:31:02+05:30,2026-08-28T13:31:02+05:30,Asia/Kolkata,UPSTOX,2026-09-01,a7028d880fbb63ca,0.0,False,24099.75,0.0,False,119.0,24099.75,24096.05,4,24099.5,24122.6,24188.3,24076.85,24090.85,,,10.76,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_133203_000,2026-08-28T13:32:03+05:30,2026-08-28T13:32:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,86fdff92c064de15,0.0,False,24100.25,0.0,False,117.9,24100.25,24099.1,3,24100.45,24122.6,24188.3,24076.85,24090.85,,,10.74,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_133303_000,2026-08-28T13:33:03+05:30,2026-08-28T13:33:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,580f499100d5e688,0.0,False,24103.5,0.0,False,116.9,24103.5,24100.9,3,24103.5,24122.6,24188.3,24076.85,24090.85,,,10.75,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_133403_002,2026-08-28T13:34:03+05:30,2026-08-28T13:34:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,5a03fc5d7050fd63,0.0,False,24109.05,0.0,False,115.9,24109.05,24106.5,3,24109.05,24122.6,24188.3,24076.85,24090.85,,,10.75,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_133502_999,2026-08-28T13:35:02+05:30,2026-08-28T13:35:02+05:30,Asia/Kolkata,UPSTOX,2026-09-01,7c81af8106c6ef89,0.0,False,24110.4,0.0,False,115.0,24111.9,24109.05,4,24110.4,24122.6,24188.3,24076.85,24090.85,,,10.74,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_133603_000,2026-08-28T13:36:03+05:30,2026-08-28T13:36:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,38e23b876f7b8d39,0.0,False,24108.85,0.0,False,113.9,24110.1,24108.85,3,24108.85,24122.6,24188.3,24076.85,24090.85,,,10.75,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_133703_000,2026-08-28T13:37:03+05:30,2026-08-28T13:37:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,e6f34d312996f671,0.0,False,24109.35,0.0,False,112.9,24109.35,24106.3,3,24109.1,24122.6,24188.3,24076.85,24090.85,,,10.74,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_133802_999,2026-08-28T13:38:02+05:30,2026-08-28T13:38:02+05:30,Asia/Kolkata,UPSTOX,2026-09-01,7f3333b9c175fa65,0.0,False,24112.0,0.0,False,112.0,24113.05,24109.35,4,24112.0,24122.6,24188.3,24076.85,24090.85,,,10.74,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_133903_002,2026-08-28T13:39:03+05:30,2026-08-28T13:39:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,e994da17ff41a038,0.0,False,24112.3,0.0,False,110.9,24112.7,24111.5,3,24112.45,24122.6,24188.3,24076.85,24090.85,,,10.71,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
